lv1_code,product_class_name,name,status,brand,attribute.saya_2_ways.boolean,attribute.saya_4_ways.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.page_url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,variation_children_code
wayuu_allure,4 Level Product Style,WAYUU ALLURE,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",WAYUU ALLURE,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,WAYUU ALLURE,"Reversible
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,WAYUU ALLURE,,active,2018,61.12.41.00.00,2114sac03|2114sbc03
meteorite_colombia,4 Level Product Style,METEORITE COLOMBIA,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",METEORITE COLOMBIA,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Deep scoop one piece <br/>Adjustable criss cross back<br/>High leg cut<br/>Lace up and tie back string<br/>Made in Colombia</p>,METEORITE COLOMBIA,"Reversible
Deep scoop one piece 
Adjustable criss cross back
High leg cut
Lace up and tie back string
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,METEORITE COLOMBIA,,active,2018,61.12.41.00.00,3067sor01|3067soh01
meteorite_sublime,4 Level Product Style,METEORITE SUBLIME,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",METEORITE SUBLIME,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,METEORITE SUBLIME,"Reversible
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,METEORITE SUBLIME,,active,2018,61.12.41.00.00,3007sac16|3007sbc16|3007scc16|3007sdc16
meteorite_flirt,4 Level Product Style,METEORITE FLIRT,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",METEORITE FLIRT,<br/>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Brazilian cut<br/>Made in Colombia</p>,METEORITE FLIRT,"Reversible
Seamless
Low rise
Brazilian cut
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,METEORITE FLIRT,,active,2018,61.12.41.00.00,3039sbc04|3039scc04|3039sdc04
afterlife_island,4 Level Product Style,AFTERLIFE ISLAND,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",AFTERLIFE ISLAND,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,AFTERLIFE ISLAND,"Reversible
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,AFTERLIFE ISLAND,,active,2018,61.12.41.00.00,2187sbc01|2187sdc01
spanish_explorer,4 Level Product Style,SPANISH EXPLORER,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",SPANISH EXPLORER,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Less coverage at rear<br/>Made in Colombia</p>,SPANISH EXPLORER,"Reversible
Seamless
Low rise
Less coverage at rear
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,SPANISH EXPLORER,,active,2018,61.12.41.00.00,1943sbc04|1943scc04
punta_bay,4 Level Product Style,PUNTA BAY,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",PUNTA BAY,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Long sleeve one piece <br/>Keyhole cut out at back<br/>Made in Colombia</p>,PUNTA BAY,"Reversible
Long sleeve one piece 
Keyhole cut out at back
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,PUNTA BAY,,active,2018,61.12.41.00.00,2122sob02|2122soc02
bumpy_roads,4 Level Product Style,BUMPY ROADS,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",BUMPY ROADS,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,BUMPY ROADS,"Reversible
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,BUMPY ROADS,,active,2018,61.12.41.00.00,2050sbc01|2050sdc01
nighlty_oasis,4 Level Product Style,NIGHLTY OASIS,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",NIGHLTY OASIS,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/> Made in Colombia</p>,NIGHLTY OASIS,"Reversible
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,NIGHLTY OASIS,,active,2018,61.12.41.00.00,1943sac03|1943sbc03
garden_pilot,4 Level Product Style,GARDEN PILOT,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",GARDEN PILOT,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,GARDEN PILOT,"Reversible
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,GARDEN PILOT,,active,2018,61.12.41.00.00,2061sbc03|2061scc03
gulf_of_paria,4 Level Product Style,GULF OF PARIA,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",GULF OF PARIA,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,GULF OF PARIA,"Reversible
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,GULF OF PARIA,,active,2018,61.12.41.00.00,2041sac07|2041sbc07
pearl_province,4 Level Product Style,PEARL PROVINCE,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",PEARL PROVINCE,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,PEARL PROVINCE,"Reversible
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,PEARL PROVINCE,,active,2018,61.12.41.00.00,2047sbc05|2047scc05
