lv1_code,product_class_name,name,status,brand,attribute.country_of_origin.string,attribute.co_online.boolean,attribute.us_online.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.dw_size_code.single_option,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.page_url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,attribute.saya_color.single_option,attribute.saya_size.single_option
1482cpr01_multicolor_os,Single Level Product Style,1482CPR01 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>BAR REEF</h4>,,<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>Squeare pareo<br/>Stitch detail at hem</p>,BAR REEF,"Squeare pareo.
Stitch detail at hem",,,,,,SPRING 2018,COLOMBIA,,,,BAR REEF,,active,2018,62.17.10.00.00,,
1478cpr01_anaranjado_os,Single Level Product Style,1478CPR01 ANARANJADO OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>MELLOW HONEY</h4>,,<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>Squeare pareo<br/>Stitch detail at hem</p>,MELLOW HONEY ,"Squeare pareo.
Stitch detail at hem",,,,,,SPRING 2018,COLOMBIA,,,,MELLOW HONEY,,active,2018,62.17.10.00.00,,
1490cpr01_verde_os,Single Level Product Style,1490CPR01 VERDE OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>MYSTIC ISLE</h4>,,<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>Squeare pareo<br/>Stitch detail at hem</p>,MYSTIC ISLE,"Squeare pareo.
Stitch detail at hem",,,,,,SPRING 2018,COLOMBIA,,,,MYSTIC ISLE,,active,2018,62.17.10.00.00,,
1495cpr01_azul_os,Single Level Product Style,1495CPR01 AZUL OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>MYSTIC SEA SALT</h4>,,<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>Squeare pareo<br/>Stitch detail at hem</p>,MYSTIC SEA SALT,"Squeare pareo.
Stitch detail at hem",,,,,,SPRING 2018,COLOMBIA,,,,MYSTIC SEA SALT,,active,2018,62.17.10.00.00,,
1473cpo01_azul_os,Single Level Product Style,1473CPO01 AZUL OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>CUPCAKE CAT</h4>,,<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>Poncho.<br/>Trim at hem</p>,CUPCAKE CAT ,"Poncho 
Trim at hem",,,,,,SPRING 2018,COLOMBIA,,,,CUPCAKE CAT ,,active,2018,62.17.10.00.00,,
1250xtr01_multicolor_os,Single Level Product Style,1250XTR01 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>PASSPORT KEEPER</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Passport keeper with spaces for cards, elastic band to envelope and space for a pen</p>",PASSPORT KEEPER,"Passport keeper with spaces for cards, elastic band to envelope and space for a pen",,,,,,SPRING 2018,COLOMBIA,,,,PASSPORT KEEPER,,active,2018,42.02.32.00.00,,
1254xpk01_multicolor_os,Single Level Product Style,1254XPK01 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>HEADPHONES KEEPER</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Coin purse with zipper to save rolled headphones, carabiner to hold it from bags and purses</p>",HEADPHONES KEEPER,"Coin purse with zipper to save rolled headphones, carabiner to hold it from bags and purses",,,,,,SPRING 2018,COLOMBIA,,,,HEADPHONES KEEPER,,active,2018,42.02.32.00.00,,
1231xcp01_azul_os,Single Level Product Style,1231XCP01 AZUL OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>HERITAGE LOVELY CAP</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Beach cap</p>,HERITAGE LOVELY CAP,Beach cap,,,,,,SPRING 2018,COLOMBIA,,,,HERITAGE LOVELY CAP,,active,2018,65.06.99.00.00,,
1246xpk01_multicolor_os,Single Level Product Style,1246XPK01 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>DOUBLE MAAJICAL POCKET</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Travel purse with two pockets with big capacity</p>,DOUBLE MAAJICAL POCKET,Travel purse with two pockets with big capacity,,,,,,SPRING 2018,COLOMBIA,,,,DOUBLE MAAJICAL POCKET,,active,2018,42.02.32.00.00,,
1230xte01_beige_os,Single Level Product Style,1230XTE01 BEIGE OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>COCONUT BAGGY TOTE</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Beach bag with big capacity, decorative fringes and inside little pocket</p>",COCONUT BAGGY TOTE,"Beach bag with big capacity, decorative fringes and inside little pocket",,,,,,SPRING 2018,COLOMBIA,,,,COCONUT BAGGY TOTE,,active,2018,42.02.22.00.00,,
1247xpk01_multicolor_os,Single Level Product Style,1247XPK01 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>SECRETS POCKET</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Colors purse with two pockets with zipper and two inside pockets without zipper</p>,SECRETS POCKET,Colors purse with two pockets with zipper and two inside pockets without zipper,,,,,,SPRING 2018,COLOMBIA,,,,SECRETS POCKET,,active,2018,42.02.32.00.00,,
1251xpk01_multicolor_os,Single Level Product Style,1251XPK01 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>ASSORTED TRAVEL POCKET</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Cosmetic bag with big capacity, ony one pocket</p>",ASSORTED TRAVEL POCKET,"Cosmetic bag with big capacity, ony one pocket",,,,,,SPRING 2018,COLOMBIA,,,,ASSORTED TRAVEL POCKET,,active,2018,42.02.32.00.00,,
1235xtw01_red_os,Single Level Product Style,1235XTW01 RED OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>AMARANT BEACH BLANKET</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Round duplex towell with decorative fringes</p>,AMARANT BEACH BLANKET,Round duplex towell with decorative fringes,,,,,,SPRING 2018,COLOMBIA,,,,AMARANT BEACH BLANKET,,active,2018,63.07.90.90.00,,
1238xcp02_azul_os,Single Level Product Style,1238XCP02 AZUL OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>CRYSTAL KNOT VISOR</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Knot visor</p>,CRYSTAL KNOT VISOR,Knot visor,,,,,,SPRING 2018,COLOMBIA,,,,CRYSTAL KNOT VISOR,,active,2018,65.07.00.00.00,,
1238xcp01_red_os,Single Level Product Style,1238XCP01 RED OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>MULATA KNOT VISOR</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Knot visor</p>,MULATA KNOT VISOR,Knot visor,,,,,,SPRING 2018,COLOMBIA,,,,MULATA KNOT VISOR,,active,2018,65.07.00.00.00,,
